endTime,artistName,trackName,msPlayed
2019-11-04 20:41,Twiddle,Jamflowman,478360
2019-11-04 20:43,The Werks,Magic,123616
2019-11-04 20:43,Umphrey's McGee,You & You Alone,5909
2019-11-04 20:46,The Rolling Stones,Beast Of Burden - Remastered,203797
2019-11-04 20:49,Generationals,TenTwentyTen,181802
2019-11-04 20:50,Sturgill Simpson,Sing Along,1002
2019-11-04 20:50,Sure Sure,This Must Be The Place,2111
2019-11-04 20:50,Pigeons Playing Ping Pong,F.U.,14186
2019-11-04 20:50,The Rolling Stones,Gimme Shelter,7445
2019-11-04 20:55,Pigeons Playing Ping Pong,Melting Lights,304506
2019-11-04 21:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-04 21:04,Pigeons Playing Ping Pong,Schwanthem,198493
2019-11-04 21:09,Pigeons Playing Ping Pong,Zydeko,324195
2019-11-04 21:09,Pigeons Playing Ping Pong,Melting Lights,12300
2019-11-04 21:58,Pigeons Playing Ping Pong,Zydeko,74642
2019-11-04 22:20,Pigeons Playing Ping Pong,Time to Ride,115374
2019-11-04 22:20,Pigeons Playing Ping Pong,Sunny Day,1173
2019-11-04 22:31,Pigeons Playing Ping Pong,Moonwalk,335000
2019-11-05 00:49,Pigeons Playing Ping Pong,Horizon,71966
2019-11-05 00:57,Pigeons Playing Ping Pong,Kiwi,485568
2019-11-05 12:17,Yoke Lore,Chin Up,265213
2019-11-05 12:20,Marty O'Reilly & the Old Soul Orchestra,Cinnamon Tree,142414
2019-11-05 13:01,Pigeons Playing Ping Pong,Julia,313000
2019-11-05 13:04,Foreign Talks,Rip It up Slow,219493
2019-11-05 13:11,Medicine Man Revival,Breakthrough #Dtownhump,221755
2019-11-05 13:16,Twiddle,Amydst the Myst,270920
2019-11-05 13:20,Galactic,Going Straight Crazy (feat. Princess Shaw),207989
2019-11-05 13:26,Ripe,Pretty Dirty (In the Fading Light),343404
2019-11-05 13:29,Dustbowl Revival,Honey I Love You (feat. Keb' Mo'),213026
2019-11-05 13:33,Vulfpeck,Animal Spirits,190801
2019-11-05 13:36,Cory Wong,Cosmic Sans,217146
2019-11-05 13:40,Middle Brother,Million Dollar Bill,243320
2019-11-05 13:44,The Wood Brothers,Luckiest Man,233666
2019-11-05 13:48,Pigeons Playing Ping Pong,Live Life,254506
2019-11-05 13:54,Talking Heads,"This Must Be the Place (Naive Melody) - Live at the Pantages Theatre, December 1983",326493
2019-11-05 14:15,Joe Hertler & The Rainbow Seekers,No Money (Jetski),257040
2019-11-05 14:23,Sweet Plot,The Gatsby Express,498453
2019-11-05 14:27,Dustbowl Revival,Gonna Fix You,216200
2019-11-05 14:31,Twiddle,Syncopated Healing,278291
2019-11-05 14:37,Ripe,Goon Squad,316742
2019-11-05 14:45,Pigeons Playing Ping Pong,Kiwi,509493
2019-11-05 14:48,J. Roddy Walston & The Business,You Know Me Better,206186
2019-11-05 14:52,Lettuce,Move On Up,213480
2019-11-05 16:29,Kung Fu,Hollywood Kisses,439158
2019-11-05 16:30,The Osborne Brothers,Rocky Top - Single Version,2735
2019-11-05 16:38,Papadosio,Garden,484719
2019-11-05 16:42,The Wood Brothers,I Got Loaded,243440
2019-11-05 16:49,The Brothers Comatose,Sugar Please,241990
2019-11-05 16:55,Leland Blue,Sofia...,312000
2019-11-05 16:59,Pigeons Playing Ping Pong,F.U.,281000
2019-11-05 17:05,Shakey Graves,Kids These Days,222512
2019-11-05 17:13,Twiddle,Jamflowman,478360
2019-11-05 17:14,Cbdb,Slow Foxes,53116
2019-11-05 19:05,Pigeons Playing Ping Pong,Julia,313000
2019-11-05 19:09,Pigeons Playing Ping Pong,Horizon,222346
2019-11-05 19:12,Magic City Hippies,Limestone,209164
2019-11-05 19:17,Pretty Lights,Rainbows & Waterfalls,254680
2019-11-05 19:19,Mo Lowda & the Humble,Where the Whitetails Go,149924
2019-11-05 19:29,The Allman Brothers Band,Back Where It All Begins,550480
2019-11-05 19:34,Busty and the Bass,The Real,291507
2019-11-05 19:38,Greensky Bluegrass,Windshield,224853
2019-11-05 19:42,The Movement,Habit - Original Mix,251088
2019-11-05 19:48,Dispatch,Midnight Lorry,339360
2019-11-05 19:54,Blues Traveler,Hook,1980
2019-11-05 19:54,Pigeons Playing Ping Pong,Somethin' For Ya,330253
2019-11-05 19:54,GRiZ,Driftin',4240
2019-11-05 19:58,Pimps of Joytime,Mud featuring Ivan Neville,260173
2019-11-05 20:02,Lettuce,Mt. Crushmore,200906
2019-11-05 20:07,Ripe,Goon Squad,316742
2019-11-05 20:12,Ghostland Observatory,Sometimes,254680
2019-11-05 20:13,St. Paul & The Broken Bones,Apollo - Radio Edit,72601
2019-11-05 22:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-05 22:05,Pigeons Playing Ping Pong,Melting Lights,304506
2019-11-05 22:10,Tauk,Friction,300876
2019-11-05 22:14,moe.,Okayalright,252026
2019-11-05 22:21,Pretty Lights,Only Yesterday,375426
2019-11-05 22:27,SunSquabi,Just a Little,370666
2019-11-05 22:31,The Revivalists,Stand Up,231053
2019-11-05 22:41,Pigeons Playing Ping Pong,Horizon,575120
2019-11-05 22:45,GRiZ,It Gets Better,243096
2019-11-05 22:49,The Wood Brothers,Happiness Jones,246893
2019-11-05 22:58,The Allman Brothers Band,Back Where It All Begins,550480
2019-11-05 23:02,Pretty Lights,Rainbows & Waterfalls,254680
2019-11-05 23:11,Papadosio,Cue,517253
2019-11-06 11:34,Pigeons Playing Ping Pong,Julia,189312
2019-11-06 11:37,Magic City Hippies,Limestone,209164
2019-11-06 11:41,Magic Bronson,Nervous,173152
2019-11-06 11:44,GRiZ,Smoke That (feat. ProbCause & Jaye Prime),181333
2019-11-06 11:48,Magic City Hippies,Franny,195253
2019-11-06 11:59,Mt. Joy,Dirty Love,164626
2019-11-06 12:04,Rainbow Kitten Surprise,Cocaine Jesus,229666
2019-11-06 12:07,Slightly Stoopid,Closer to the Sun,145560
2019-11-06 12:11,Space Jesus,"Hmu (feat. Clay Parnell & Rory ""Sweet Boy"" Dolan)",246967
2019-11-06 12:15,Mosie,Oh! Frenchy,236153
2019-11-06 12:18,Magic City Hippies,Four of a Kind,215000
2019-11-06 12:21,Whethan,When I'm Down,164680
2019-11-06 12:25,The Dip,Atlas,227680
2019-11-06 12:29,Dr. Dog,Heart It Races - Cover Version,233128
2019-11-06 12:33,Manwolves,These Days,239425
2019-11-06 12:36,Argonaut & Wasp,Beast of Burden,166049
2019-11-06 12:38,Pigeons Playing Ping Pong,Kiwi,308871
2019-11-06 12:40,Shakey Graves,Mansion Door,270135
2019-11-06 12:40,Magic City Hippies,Fanfare,7665
2019-11-06 13:01,Magic City Hippies,Fanfare,256334
2019-11-06 13:05,Mosie,Look@Ugo,251477
2019-11-06 13:08,Abhi The Nomad,Sex n' Drugs,217777
2019-11-06 13:11,Still Woozy,Goodie Bag,146390
2019-11-06 13:14,Coast Modern,Tiny Umbrella,207880
2019-11-06 13:17,Slightly Stoopid,Closer to the Sun,145560
2019-11-06 13:25,Mosie,Oh! Frenchy,236153
2019-11-06 13:29,Magic City Hippies,Four of a Kind,215000
2019-11-06 13:32,Whethan,When I'm Down,164680
2019-11-06 13:35,The Dip,Atlas,227680
2019-11-06 13:39,Dr. Dog,Heart It Races - Cover Version,233128
2019-11-06 13:43,Manwolves,These Days,239425
2019-11-06 13:46,Argonaut & Wasp,Beast of Burden,166049
2019-11-06 13:51,Shakey Graves,Mansion Door,270135
2019-11-06 14:05,Magic City Hippies,Fanfare,264000
2019-11-06 14:09,Mosie,Look@Ugo,251477
2019-11-06 14:12,Abhi The Nomad,Sex n' Drugs,217777
2019-11-06 14:15,Still Woozy,Goodie Bag,146390
2019-11-06 14:18,Coast Modern,Tiny Umbrella,207880
2019-11-06 14:23,Coast Modern,Dive,210426
2019-11-06 14:41,Mt. Joy,Astrovan,186133
2019-11-06 14:45,Nickelback,Where Do I Hide,218000
2019-11-06 14:49,Rainbow Kitten Surprise,Heart,219696
2019-11-06 14:54,Matt Maeson,Go Easy,227373
2019-11-06 14:59,Still Time,9 to 5,298881
2019-11-06 16:10,Red Hot Chili Peppers,Under the Bridge,75279
2019-11-06 16:14,Magic City Hippies,Fanfare,215970
2019-11-06 16:18,Mosie,Look@Ugo,251477
2019-11-06 16:22,Abhi The Nomad,Sex n' Drugs,217777
2019-11-06 16:24,Still Woozy,Goodie Bag,146390
2019-11-06 16:28,Coast Modern,Tiny Umbrella,207880
2019-11-06 16:31,Robby Hunter Band,Never Say No,196383
